artist_familiarity,artist_hotttnesss,artist_id,artist_latitude,artist_longitude,artist_name,artist_terms,artist_terms_freq,release_id,song_id
6090637,363651365,ARGIWFO1187B9B55B7,0,0,Five Bolt Main,post-grunge,0.953673906,45730,SOPSWQW12A6D4F8781
550513698,422705641,ARNTLGG11E2835DDB9,0,0,Clp,breakcore,0.915601748,672016,SOZQDIU12A58A7BCF6
459797129,349912612,ARDNS031187B9924F0,32.67828,-83.22295,Tim Wilson,filk,1,160881,SONYPOM12A8C13B2D7
588827101,379671125,AROUOZZ1187B9ABE51,40.79195,-73.94512,Willie Bobo,latin jazz,0.965406124,59744,SOBZBAZ12A6D4F8742
396455254,299230368,ARH4Z031187B9A71F2,40.73197,-74.17418,Faye Adams,jump blues,1,373723,SOVYKGO12AB0187199
706827671,416173065,ARB29H41187B98F0EF,41.88415,-87.63241,Terry Callier,soul jazz,0.985011245,228326,SOGNCJP12A58A80271
560557984,452789477,AR1Y2PT1187FB5B9CE,27.94017,-82.32547,John Wesley,disco,1,463514,SOLLHMX12AB01846DC
640807102,418216518,ARAJPHH1187FB5566A,40.7038,-73.83168,The Shangri-Las,doo-wop,0.922774628,643400,SOYTPEP12AB0180E7B
523714637,384611084,AR0RCMP1187FB3F427,30.08615,-94.10158,Billie Jo Spears,classic country,0.984993496,663761,SOGXHEG12AB018653E
79360508,426317956,AREBBGV1187FB523D2,0,0,Mike Jones (Featuring CJ_ Mello & Lil' Bran),rap,1,12882,SOOLYAZ12A6701F4A6
501544777,392733676,ARGUVEV1187B98BA17,0,0,Sierra Maestra,charanga,1,270281,SOGOSOV12AF72A285E
809323793,488019842,ARPQ4Z01187FB3A736,29.42449,-98.49462,Butthole Surfers,noise rock,1,244586,SOJXVAH12A8C139700
632559542,41168896,ARNQAVF11F4C844C04,0,0,Despina Vandi,dance pop,1,157648,SOVXMTN12A8C135A18
597541218,382651971,ARXUT4W1187FB48BEB,0,0,Javier Navarrete,orchestra,0.842995301,644631,SORSECL12AB0182267
495445922,294861262,ARDD1RC1187B9B52B4,0,0,Jacob Young,cool jazz,0.878319228,730551,SOOGFBZ12AC3DF7FF2
527865076,393121934,ARLGWFM1187FB4AC9F,34.05349,-118.24532,Scarlet's Remains,gothic metal,0.974033549,709879,SOMSBGZ12AB018C4CB
668674533,467538444,ARWYVP51187B98C516,42.33168,-83.04792,The Suicide Machines,ska punk,1,706005,SONYRZV12AB018AF70
814829656,735765693,ARFCUN31187B9AD578,51.50632,-0.12714,The Rolling Stones,blues,0.999983058,42595,SONQBUB12A6D4F8ED0
482356043,350078579,AR6YDKV1187B989230,0,0,Roberto Torres,salsa,1,782470,SOHGKJW12AC468A8BD
661080168,442765842,ARV1JVD1187B9AD195,35.91463,-79.05661,Loudon Wainwright III,modern rock,1,28723,SOINBCU12A6D4F94C0
701180874,466628889,AR7TTS41187B9B42D3,34.36401,-89.51877,R.L. Burnside,delta blues,0.980350471,557761,SOTWVQT12A58A79650
73379894,544257506,ART3O5Z1187B9AB043,32.77815,-96.7954,Stevie Ray Vaughan,texas blues,0.999791772,417945,SOTSEJY12AB0180F56
590692918,452817838,AR5U94U1187FB5CDCF,0,0,John Hammond,blues,1,575531,SOTSETT12AB01863B8
665322162,394217199,ARRJNTE1187FB44E12,0,0,Casiotone For The Painfully Alone,trip hop,0.877629027,234425,SOTUNMH12A6D4FA3E6
50407567,33457736,AR6IRG41187B9A4D98,52.51607,13.37698,Ec8or,hardcore techno,1,505301,SOEPPKB12AB018418B
717670525,479308459,ARS1OWB1187B99EEAD,0,0,The New York Dolls,glam rock,0.998786077,74655,SOGKIWV12A6D4F86C4
669726188,427914247,ARGMXQW1187FB54C34,-23.56287,-46.65466,Eliane Elias,brazilian jazz,1,322532,SOPHYIS12AAF3B35A3
569741152,412240601,AROEL1B1187B988B90,0,0,Lost Boyz,gangster rap,1,14592,SOFHBAR12A6701D0FE
640048357,40439264,AR8W8DN1187FB35ED0,34.05349,-118.24532,The Germs,rock,1,515081,SOCPRKM12AB018A2FD
397772876,383475745,ARUWLCL1187FB549B8,0,0,Yamandu Costa,brazilian jazz,1,765750,SOFGHAM12AB0186412
643182773,500691341,AR3793X1187FB50CB3,0,0,Chris Rea,soft rock,0.961375214,17220,SODHVES12A6701CE6B
411421048,338414819,ARINEWW1187FB5577E,0,0,Perrey And Kingsley,easy listening,0.947930118,617077,SOXIATP12AAF3B2184
75100762,523699078,ARDGB6U1187FB3AD07,51.50632,-0.12714,Eurythmics,dance rock,0.947914829,278999,SOGNQWU12A8AE4868F
54858513,383524247,AR2J2WF1187FB46271,54.48303,-3.53444,Francis Dunnery,singer-songwriter,1,19601,SOYQOFI12A6D4F76E1
749317801,481655862,ARUI8651187B9ACF52,0,0,John Cale,experimental rock,1,38599,SOVOLGY12A6D4F822B
631946666,380704536,AR89DTT1187B9A7ED5,37.77916,-122.42005,Suzanne Ciani,meditation,0.920584126,619882,SOMZCVH12AB0182B8E
653937821,396855869,ARMD0G81187B99A519,0,0,Vickie Winans,ccm,1,618615,SONXJBL12AAF3B2C0C
668370612,45755391,AR0VZWC1187B99BA57,-37.81753,144.96715,The Berzerker,speedcore,0.932857594,681639,SOYWZTU12AB0180E26
845768866,788805935,ARF2EHS1187B994F4E,36.16778,-86.77836,Kings Of Leon,southern rock,1,449471,SOLGHDZ12AB0183B11
407455644,30004649,ARZKRD01187FB45FD2,0,0,Edith Lefel,zouk,1,321356,SOTNTNJ12AAA15FBD6
460171324,189314878,ARK4H5K1187B992F74,0,0,Taras,trance,1,530141,SOXZXXV12AAF3B3A67
778816717,554291489,AR06EB01187FB40150,0,0,NOFX,punk,1,104765,SOPIKEG12A58291636
435889847,26803784,ARKPDBH1242077DEB1,0,0,Murskahumppa,suomi rock,1,695158,SOIRNBO12AC468D207
711165787,466826993,ARBJSO81187B9BA09B,0,0,Soda Stereo,rock,1,509770,SOSBDSF12AB0189007
443162398,30045446,ARRC2JF1187B9B6A93,-24.9162,133.39311,Bruce Rowland,easy listening,1,223779,SOIJXXM12A8C1416D6
400433514,266275286,ARNIFX51187FB418EA,0,0,Xcultures,gabba,0.942755424,466577,SOHMMMC12AB0181C42
477364753,337507289,ARCCRTI11F4C845308,0,0,White Heart,ccm,1,148547,SOVJXVJ12A8C13517D
617870116,36366811,ARNVH8S1187FB52F86,18.11526,-77.27348,Heavy D / McGruff,pop rap,0.892334368,423012,SOFZCTA12AB0188D8F
744641246,579988982,ARNLO5S1187B9B80CC,0,0,Van Halen,heavy metal,0.999932033,7133,SOLRYQR12A670215BF
845601887,1.005941966,ARTDQRC1187FB4EFD4,0,0,Black Eyed Peas,hip hop,1,358442,SOCHRXB12A8AE48069
905776889,598458501,ARK9TRQ1187B99C095,41.50471,-81.69074,Nine Inch Nails,industrial metal,0.999945289,15567,SOKBBXO12A6701DEA0
694021648,479407676,ARODBRG1187FB3FD99,0,0,Nick Cave & The Bad Seeds,rock,1,413222,SOWHYUG12A58A77FAB
408389022,139247394,ARMBYRO1187FB57419,0,0,Nadine Renee,freestyle,1,80578,SOYSTDI12A6D4F6500
606925359,389100776,ARWY7I71187FB36C3D,40.71455,-74.00712,Lesley Gore,brill building pop,1,26902,SOOOROX12A6D4F8400
562463784,322485106,AR6Y22S1187B99906F,0,0,Smartbomb,melodic hardcore,0.981267204,633532,SONSPZE12AB01819CE
481004583,335651839,ARI5P4N1187FB3F44D,0,0,Suburbs,british pop,0.939709535,435830,SOHWGFU12AB017B036
742963152,453391186,ARYPWUK1187B98ACED,64.55653,12.66538,Emperor,heavy metal,1,495734,SOQQVQJ12AB0185192
58547954,364384925,ARW63KF1187B98AC48,46.71067,1.71819,Julien Clerc,chanson,1,664484,SODRHHD12AB0189F2A
67159627,481024239,AR8H87D1187FB3A841,34.03142,-93.50243,Glen Campbell,country rock,0.970825545,112851,SOQGFVO12A8C13C8C3
449323615,343281882,ARLWR721187B9A03C9,35.82213,-88.91599,T.G. Sheppard,country rock,0.998410062,200689,SORABMD12A8C136672
51644378,386669092,ARF4V431187FB3AA41,27.94653,-82.45927,Slim Whitman,folk-pop,1,682725,SOTUBVH12AB018D2EC
728209707,538070295,ARBGWMW1187B9AEA3E,0,0,Savage Garden,easy listening,0.896826245,287804,SOMQAGT12A8C132DB4
798645179,552413346,AR6G4V01187B9AD086,0,0,Queens Of The Stone Age,stoner metal,0.920686051,220917,SOKLLOH12A67020F2C
445854631,347598889,ARVQ4QM1187B98AD95,33.52029,-86.8115,Hank Penny & The Lincoln Penny Orchestra,western swing,1,629785,SONRLQH12AB017C232
605109702,398547535,AR9AM2N1187B9AD2F1,53.4796,-2.24881,Inspiral Carpets,indie rock,0.99732938,11305,SODDZAD12A6701DC4C
454043995,421415103,AR9XEVF1187B99D017,0,0,Borialis,rap rock,0.92892821,4967,SORENXV12A6701F61F
543516131,404182207,ARCFOZ71187FB43A0D,0,0,The Dirty Skirts,indie rock,1,325335,SOYMMDY12AB01825B2
42054585,313569343,ARHFEBO11F50C4825A,0,0,Flor Silvestre,ranchera,1,82932,SOJWQIP12A6D4F710A
373850623,148985481,AR107SB1187B9A79F9,0,0,BA(c)zu,chanson,1,401583,SOOVOKS12AB017EE57
743129776,493566843,ARXWAQQ1187B9AE954,0,0,Redman,hip hop,1,8552,SORWHWY12A6702038E
13818761,31781096,ARL6XZC1187FB3936E,0,0,Solistiyhtye Suomi,german pop,1,217058,SOGYYLE12A8C13E5EA
416141023,331090126,ARSDSMG1187B98CB59,40.71455,-74.00712,Eddie Cantor,easy listening,1,489673,SOITUXQ12AB0183AE9
495559652,349192218,AR3WMW01187B9921F7,0,0,Schizoid,breakcore,1,475992,SOTWEZZ12A8C142B60
430538907,316354001,AR3C3C01187B98E800,56.153,10.20452,Kai Winding,hard bop,0.942971915,495041,SOUVRGZ12A58A77F90
428375417,317833879,ARDD9UN1187B98D3A7,31.84666,-91.657,Sonny Simmons,free jazz,0.985270123,225610,SOBLTSM12A6D4F9EEA
545110951,345751247,ARJGNV61187B98F3B5,0,0,Mira,shoegaze,0.893803057,473710,SOUQVUD12A8C142DCE
483339422,277561738,ARSVI4L1187B996181,0,0,Citizen Kaned,chill-out,0.961490955,710902,SOCRPDR12AB0185B75
559278494,432011947,ARVJ0JK1187B98C9C0,0,0,The Brooklyn Tabernacle Choir,gospel,1,341940,SOXVBVL12AF72A600C
438887475,325148571,AR4PCIG1187B98D07D,36.16778,-86.77836,Ellen McIlwaine,blues-rock,0.949727911,766444,SOIQHDR12AB01896C8
57810363,414892612,AR1RHCO1187B9AF0BF,37.77916,-122.42005,Vince Guaraldi / Bola Sete,latin jazz,1,432406,SODLSHA12AAF3B29F2
502453177,391585329,AR1X2H01187B98CCF2,0,0,Maurice Chevalier,chanson,1,546663,SOAGHMH12AB0180285
541975108,384184259,ARBQBZV1187B99D29E,0,0,Carl Cox Vs Yousef,tech house,0.947705021,548374,SORAVUP12AB018556E
683719468,412671631,AR9ODB41187FB459B2,0,0,Organized Konfusion,hip hop,1,704183,SOFXNQP12AB0184F1A
614870934,628246419,ARF3GX71187FB3EB66,0,0,Martina McBride,country,0.939349522,307618,SOGQTRZ12A8C13C8B0
626436382,374271174,AR3PN3R1187FB4CEBD,18.01571,-76.79731,Horace Andy,roots reggae,1,784530,SOBHVZQ12AC9618285
494681417,384146444,ARYWCFZ11E2835CFDD,0,0,Nazz,freakbeat,0.865512359,534470,SOYPBCY12AB0181EF3
543866303,393215104,ARUT16P1187FB532A4,33.39847,-91.03786,Tyrone Davis,chicago soul,0.930353957,599659,SOWRLSY12AC4687694
567278871,405178359,AREOGMA1187B9908EF,37.77916,-122.42005,Hot Tuna,blues-rock,1,372122,SOOGQWR12A8C142505
432386477,28404741,AR4ABL21187FB3913A,40.99471,-77.60454,Richard Burton,jazz fusion,0.986476662,577023,SOJDYQY12AB0188C97
513829587,343185045,AR8YV1I1187FB45D2B,40.71455,-74.00712,Rory Block,delta blues,0.929447888,572855,SOBHQUF12AB018B03E
790922848,601184942,ARR9XGB1187B9912E6,0,0,Boyz II Men,new jack swing,1,523481,SOFRAZJ12A8C143CDB
454668191,0,ARBKUS51187B98A3AC,35.4948,-85.01235,Howard Armstrong,piedmont blues,1,219943,SONNDHT12A8C13F20B
657406765,422472423,ARTB5PP1187FB523B7,41.88415,-87.63241,Donny Hathaway,jazz funk,0.923552601,266932,SOYZOXW12A8C13E195
45871209,335101425,ARXFQDY1187B9AAF1E,0,0,Miguel Gallardo,male vocalist,0.967161121,514801,SOSGJTX12AB0181F7C
652367864,437964733,ARVEJ9M1187FB4DC44,0,0,Les Ogres De Barback,chanson,1,421962,SOBQBWP12AB018611B
342440144,281284216,ARTHEAP122BCFCD0B2,0,0,DJ X-Change featuring DJ Joey A,ghetto tech,1,502384,SODULLV12AB017FA09
49825931,33406579,ARQESNI1187FB511EE,38.8991,-77.029,Morel,dance pop,0.912436038,254792,SOYAGJM12A8C13DCCE
624723768,403509673,ARCZ20M1187FB49687,32.77942,-91.56123,Tony Joe White,country rock,1,138320,SORXUZZ12A8AE4798A
79225559,566971566,ARDF8K01187FB37200,0,0,Wolfmother,stoner metal,0.999931453,722546,SOCHXAE12AF72A25D6
573605491,372251208,AR11NP91187B9901B4,0,0,The Roches,singer-songwriter,1,46647,SOCRHCQ12A58A7C8C6
555985053,326848818,ARBZAIL1187FB5B1C8,42.31256,-71.08868,Bob Margolin,blues-rock,0.959851413,547104,SOSEJIQ12AB017E7EB
42562724,0,ARWXHRS1241B9C7A1E,0,0,Thomas Battenstein,guitar,1,683402,SOMXWXQ12AC3DFA002
662649695,363177861,ARV1P811187FB3CFC6,0,0,Jupiter Rising,pop rap,1,128198,SOGMXBW12A6D4FB8D7
491921881,345809443,ARIU0MA1187B98D36F,0,0,Dharma Bums,progressive house,0.927710976,818344,SOOPUTF12AB018DFAA
594779904,318902078,ARB4D891187B9954F7,0,0,Saafir,hip hop,1,762520,SOFDTRZ12AB018DD11
70334944,498395338,ARQOC971187B9910FA,42.73383,-84.59334,The Verve Pipe,post-grunge,1,293668,SOOGNJP12A8C1381AD
434272038,301502462,AR19SOA1187B98F6E6,40.71455,-74.00712,Bob Neuwirth,singer-songwriter,1,117983,SOFUBCP12A8C13D5EF
733714697,459665457,ARTDBI61187FB48479,42.99671,-85.59012,Marvin Sapp,gospel,1,6949,SOVZBDR12A6702012E
625443262,431526919,ARSE6YI1187B9B9CD2,30.2676,-97.74298,James Hunter,blue-eyed soul,1,735425,SOPWKSS12AC468E659
498663649,32188269,AR6C8EJ1187FB3F473,0,0,Nelson Ned,latin jazz,1,158078,SOCCQIQ12A8C13C76B
505644262,351210537,AROI96Z1187B9A5304,0,0,Mish Mash,vocal house,0.934236172,199953,SODBMZD12A8C134232
406187449,273453727,ARIOSKN1257509BCE1,0,0,Cama,los angeles,0.845881025,329135,SOBUWPY12A8C1446C0
661001337,446890727,ARI0PUX1187FB3F215,54.31392,-2.23218,Maxi Priest,lovers rock,0.908228194,276924,SORWXUP12A58A79E65
830252262,507965802,ARYO9BU1187B9ADA88,0,0,Porcupine Tree,experimental rock,1,193554,SOJEVZW12A8C133988
554226467,424931835,ARZ507V1187FB4425E,0,0,Ragheb Alama,arabesque,1,409813,SOOODKC12AB018462F
839275393,550762085,AR6XPWV1187B9ADAEB,0,0,Foo Fighters,grunge,0.953021558,440990,SODOLVO12B0B80B2F4
833178561,682263177,AR6PJ8R1187FB5AD70,0,0,Shakira Featuring Wyclef Jean,dance pop,1,302176,SOEHWGF12A6D4F8B2B
574973901,42251494,AR4CG3B1187FB5B861,0,0,The Avengers,rock,1,124344,SOOZLTC12A6D4FBE91
604820432,383877494,AR7BMMV1187FB5B2D7,39.15093,-123.2079,Robben Ford,blues-rock,0.983628765,762519,SOOSYMY12AB01888CD
378013152,339408486,AREYIHC1187B99CE0B,0,0,Brazilian Tropical Orchestra,bossa nova,1,177029,SOPBKEB12A6D4FD777
441593442,382869956,AREEMIN11F4C848971,52.1082,5.32986,Gil Semedo,zouk,1,517150,SOEWQYW12AB0183FDE
711165787,466826993,ARBJSO81187B9BA09B,0,0,Soda Stereo,rock,1,512234,SOFBQIA12AB0182219
4621406,32138373,ARBGJLS11F4C83D4B9,0,0,Xmilk,thrash core,0.93249529,517488,SOHDDHR12AB0183552
471577282,3370893,ARVNDLR1187B99CA1B,35.30914,-98.52102,Dolce; Oscar G.,folk-pop,1,776019,SONWQQX12AC3DF6762
669500125,544446277,AR5LZJD1187FB4C5E5,35.66693,-80.46935,Britt Nicole,ccm,1,696947,SOGXFIF12A58A78CC4
495559652,349192218,AR3WMW01187B9921F7,0,0,Schizoid,breakcore,1,477268,SOIPNSZ12A8C144128
737972528,555968804,ARAEX7Y1187FB42D36,0,0,Toni Braxton Featuring Shaggy,dance pop,0.999854548,281713,SOEXSIN12A8C133B0A
530605798,350327605,ARK2G5U1187FB46B34,0,0,Perrey And Kingsley,easy listening,0.995553751,492999,SOTSMNJ12AB018365E
480047819,306603641,ARTB56G11C8A41569D,0,0,Sven Tasnadi,tech house,1,120640,SOLGRUN12A8C140543
622684167,362238747,AR0GGKI1187FB391D5,0,0,Eddie,frevo,0.897990699,789426,SOQCHGV12AC4688FC6
593416049,395709548,ARZEWUR1187FB53DC8,50.45663,4.87137,Enthroned,black metal,1,785362,SOXCWTT12AC9075756
631946666,380704536,AR89DTT1187B9A7ED5,37.77916,-122.42005,Suzanne Ciani,meditation,0.920584126,298921,SOAFIPD12A8C13A261
20107756,0,ARTHKKA122BCFCBF58,0,0,Milan Band,serialism,1,162273,SOMJPML12A8C13D74E
618765786,409134869,ARJDMBO1187B9AD118,0,0,Johnny Osbourne,roots reggae,0.910303408,605167,SOCVDYI12AC4687DDB
707335681,603876487,ARYJSY01187B9B7C65,0,0,Dolly Parton,bluegrass,1,474726,SOEVGMZ12A8C1421B5
488008882,31401179,AR77FBJ1187FB49D8D,42.33168,-83.04792,Rance Allen Group,jazz funk,0.898604153,364642,SOCGURJ12AB0182AEE
81444811,60797181,ARFVYJI1187B9B8E13,47.60356,-122.32944,Pearl Jam,grunge,0.954857727,307651,SOHTWLT12A8C13CFE1
69044755,507781667,ARBM4TC1187FB5CE98,0,0,Natalie Cole,vocal jazz,0.999038018,614890,SOVQZYP12A8C144692
780461749,574274731,ARMQHX71187B9890D3,0,0,Mastodon,alternative metal,0.999863626,538734,SOHHANU12A58A77C66
605874049,433945514,ARYXJ5A1187B9B9E56,36.69094,-6.13487,Kiril Valeri,flamenco,1,767591,SOTHWPG12AB018C90E
638880206,246340714,ARULHJM1187B997004,0,0,Word,blues-rock,1,554760,SOOQHNV12AB0186CD4
712098902,413393911,AROTIMO1187FB532BF,0,0,DJ Quik,gangster rap,1,528941,SOSGXRU12AAF3B2B07
635757022,379436972,AR0X3JJ1187FB3A9A7,0,0,Hank Locklin,honky tonk,1,293622,SOFRUDU12A8C13A40C
786427083,512226738,AR035N21187FB3938E,34.23294,-102.4102,BT,electronica,0.999989369,472444,SONXLQQ12AB0184B54
622829997,426944256,ARA0H5U1187FB47949,0,0,2-4 Grooves feat. Reki D.,vocal house,0.93474553,763206,SOKPHVH12AB0187460
382308283,283562596,AR358YS1187FB44A29,37.20897,-93.29156,The Jordanaires,country gospel,1,239244,SOIUGDX12A6D4FDECA
727230316,476559379,ARANOZN1187B9B373E,0,0,Descendents,hardcore punk,0.999743837,329967,SOAYYDM12AB01817E6
665728336,456940558,ARHONG11187FB3B120,29.78772,-95.82333,L.A. Guns,heavy metal,0.998509337,71267,SORAJXA12A58A7A4C9
53938059,360583582,ARRA2F91187B9B4061,0,0,Bare Jr.,post-grunge,0.96793713,282150,SODJUNF12A8C13337F
75124762,370194701,ARSGZ3J1187FB3E610,34.01156,-118.49229,Shelley Fabares,brill building pop,0.9221646,46723,SOVDDWO12A6D4F9A78
312415123,250601286,ARMQ32V1187B9999F3,52.88356,-1.97406,Norrie Paramor,easy listening,0.99891338,575880,SOFGQAP12AB0185946
524700041,389765518,AR8EDG51187FB41A08,0,0,Gary Hobbs,tejano,1,539974,SORGLCR12AB0184B69
567814264,376688631,AR1GYND1187B9A9CD3,38.43773,-122.71242,Diesel Boy,pop rock,0.901868403,558289,SOLBIIE12AB0184DFC
698770478,399451724,AR1PCLK1187FB5BBFF,40.14323,-74.72671,Angelo Badalamenti,chill-out,0.916559613,275722,SORHOEV12A81C20F71
784820389,572583336,ARF0W6Z1187B9AC325,0,0,Cradle Of Filth,sympho black metal,0.998098407,179267,SOFPYXC12A58A7A4B9
520204911,361509802,ARWGIOC1187FB4CBEF,37.16793,-95.84502,Jim Chappell,chamber jazz,0.978177995,517634,SOFQGCQ12AB0183609
479695608,220050765,ARZHLNX1187FB4B8E7,40.71455,-74.00712,Ladybug,dancehall,0.975627241,686750,SOEBDBO12AC4688712
463087254,327858925,ARC25S11187B993923,0,0,Bandido,hard house,0.871734396,766687,SONIQSB12AB0189829
515611096,0,ARKE8PP1187B997DD4,0,0,Brixx,rap,1,545429,SOYNEII12AB0181DB6
905776889,598458501,ARK9TRQ1187B99C095,41.50471,-81.69074,Nine Inch Nails,industrial metal,0.999945289,15567,SOKIGWD12A6701DE9D
352212817,297949266,ARGTUWC1187B9904A0,0,0,Susana Seivane,gaita,1,789959,SOHXKAN12AC46872F1
385143351,272190152,ARFS01P1187B9A395A,42.17963,-72.92483,Leland Martin,honky tonk,0.967795139,259476,SOQZHMH12A8C13A393
682045692,373464228,ARGWIHH1187B9A79B0,0,0,Test Icicles,grime,0.86898109,534031,SOLEYPL12A6D4F83CE
630928608,461558452,AR5MK521187B98E0B8,51.50632,-0.12714,Heaven 17,new romantic,0.832842044,23134,SOZFCNC12A6D4F76F3
485107918,247340584,ARU22AM1187B9961EA,0,0,React,happy hardcore,0.947005294,220650,SOPUQFS12A8C13DE1E
480047819,306603641,ARTB56G11C8A41569D,0,0,Sven Tasnadi,tech house,1,515188,SOPNRDT12AB018A2D8
450852685,33238987,AR93RTI1187B98ECFB,30.38815,-96.0878,Mance Lipscomb,texas blues,1,237520,SOGTLVU12A8AE47D5D
497307512,342406391,AR9AN471187B99E0DA,33.74831,-84.39111,Scott Wesley Brown,modern rock,0.993633906,64434,SOXNMDZ12A6D4FA20D
424278927,295470991,ARAR4YH1187B98BF2A,0,0,FlA!vio JosA(c),brazil,1,512027,SOGOJBW12AB018513B
602555589,389535576,AR567PN1187FB4B4F2,0,0,Moss,future jazz,0.906283576,737947,SONNOCP12A8C145220
385417447,312131222,ARYKF861187B99C74B,0,0,Pery Ribeiro,bossa nova,1,495799,SOUDHTP12AB0183403
539181188,276702625,AR4K59J1187FB3759B,44.11559,-120.51484,Soular,breakbeat,0.990025117,245279,SOWDEPU12A8C137B14
826075467,599602643,ARLSF8H1187B9A76B0,0,0,Dimmu Borgir,black metal,1,264857,SOJBYGW12A8C13A497
684994897,415517083,ARDG9Z71187B997023,51.50632,-0.12714,Public Image Ltd,dance rock,1,23178,SOQDTQP12A6D4F793F
761362238,467110649,AR56P361187B9AC4DB,54.5958,-5.93494,Gary Moore,blues-rock,1,52141,SOJHKYL12A6D4FA0AC
464481282,0,ARDDHGI126E2B3AA76,0,0,Pascal Sangla,french pop,1,755756,SOJVWBA12AB018C326
681598553,537537201,ARVML631187B99E90D,0,0,The B-52's,dance rock,1,53826,SONRSQW12A6D4F6D1C
336970428,0,ARBKMHZ11F4C843491,0,0,Dakis,greek,1,215830,SONTBYD12A58A77A29
73118423,549204384,ARD3LXU1187B9ABFC5,0,0,Sex Pistols,punk,1,754188,SOMKMPB12A8C1447D0
892688611,852186238,ARXOTQH1187FB57084,0,0,Chris Brown,r&b,0.951770362,279702,SOSGQPS12A8AE48538
332330882,0,ARMG6K31187FB55677,0,0,Deekline & Wizard,breakbeat,1,409251,SOKENJQ12AB017EC8C
349012002,0,ARFUSID1241B9C9462,44.41033,8.93889,Daniela DessA!,opera,1,646806,SOBNTXB12A8C1428BA
632242851,453435791,ARC6UC81187B989062,40.71455,-74.00712,Hem,folk-pop,1,603055,SOIKIJC12AC3DFB3D2
916058239,535408379,ARKZJ301187FB521B2,0,0,Lily Allen,ska,1,435050,SOFJNQR12A6D4FAE92
547078569,333649141,ARVKAWO11F50C47C9A,0,0,Pentangle,british invasion,0.908676766,340310,SOGDFIT12AB018528B
392570166,313989733,ARHXBJI1241B9C8B7F,0,0,DJ Dips,turnablism,1,752185,SOOIZTH12AB018C12E
